,contagem
NAO,3104.0
COVID,1349.0
SAUDE,1241.0
CORONAVIRUS,1118.0
RIO,904.0
PANDEMIA,880.0
CASOS,758.0
BRASIL,756.0
VACINA,599.0
DOENCA,595.0
VIRUS,592.0
FEIRA,560.0
CONTRA,551.0
PAIS,536.0
NOVO,519.0
DIA,513.0
LEIA,490.0
FAKE,434.0
ESTADO,431.0
SOCIAIS,429.0
REDES,425.0
GOVERNO,421.0
CASA,398.0
PAULO,370.0
MUNDO,369.0
PRESIDENTE,361.0
INTEGRA,348.0
CHECAGEM,339.0
NUMERO,327.0
PACIENTES,326.0
MINISTERIO,322.0
RISCO,319.0
TEMPO,317.0
POPULACAO,308.0
ESTUDO,296.0
CONTA,293.0
FEBRE,281.0
ACORDO,279.0
SINTOMAS,278.0
SOCIAL,276.0
CRIANCAS,275.0
GRANDE,275.0
MASCARA,274.0
MORTES,271.0
USO,269.0
NACIONAL,266.0
PARTE,265.0
CIDADE,262.0
TRABALHO,260.0
CIRCULA,257.0
DENGUE,255.0
HOSPITAL,253.0
DADOS,250.0
BEM,247.0
MENSAGEM,245.0
FORMA,244.0
JANEIRO,243.0
MEDIDAS,240.0
PESQUISA,239.0
MESES,234.0
ESTADOS,231.0
TESTES,228.0
BOLSONARO,223.0
VIDA,222.0
MASCARAS,220.0
ISOLAMENTO,218.0
DOENCAS,216.0
SEGURANCA,211.0
PESSOA,211.0
GENTE,209.0
FEDERAL,207.0
UNIVERSIDADE,205.0
PAISES,202.0
REGIAO,201.0
SERVICO,199.0
DEPRESSAO,196.0
PERIODO,195.0
PUBLICO,192.0
QUARENTENA,192.0
HOJE,192.0
MEDICO,191.0
GLOBO,189.0
AUMENTO,187.0
MINISTRO,186.0
GRUPO,185.0
SITUACAO,183.0
PROFISSIONAIS,179.0
VIDEO,178.0
FAMILIA,178.0
VACINAS,177.0
TRATAMENTO,176.0
SISTEMA,173.0
FOTO,173.0
CONTATO,172.0
MARCO,172.0
INFECCAO,171.0
RELACAO,171.0
MEDICOS,170.0
PROTECAO,170.0
CHINA,169.0
POSSIVEL,166.0
AR,163.0
CAMPANHA,162.0
GRAVE,159.0
OMS,158.0
ATENDIMENTO,157.0
MUNDIAL,157.0
ALTA,156.0
INSTITUTO,156.0
EXEMPLO,155.0
MULHERES,155.0
EVITAR,155.0
FONT,152.0
PASSADO,152.0
ESPECIALISTAS,151.0
PX,151.0
CAUSA,150.0
TEXTO,148.0
IMPORTANTE,148.0
MENTAL,147.0
PUBLICA,147.0
ORGANIZACAO,145.0
ALGUMAS,144.0
EXPLICA,142.0
TRANSMISSAO,142.0
ATIVIDADES,140.0
GRIPE,140.0
INFLUENZA,139.0
ANSIEDADE,138.0
PREFEITURA,137.0
SUL,135.0
MUITAS,135.0
EMPRESAS,135.0
MEDICA,134.0
SECRETARIA,132.0
NUM,132.0
PROBLEMAS,132.0
MULHER,132.0
MEDIA,132.0
CIENTISTAS,131.0
VOLTA,131.0
PACIENTE,130.0
MELHOR,130.0
MOSTRA,130.0
REDE,129.0
APESAR,129.0
SERVICOS,129.0
VACINACAO,128.0
EMPRESA,126.0
ALERTA,125.0
VEJA,125.0
AUTORIDADES,124.0
QUEDA,124.0
INFORMOU,124.0
BRASILEIRO,123.0
ESTUDOS,123.0
PROCESSO,123.0
ESCOLAS,122.0
AULAS,122.0
EUA,122.0
