created_at,text
Sun Sep 20 00:15:39 +0000 2020,"devo ter ficado maior nessa quarentena sla uns 1,60 no máximo"
Sun Sep 20 00:15:39 +0000 2020, @BralLM: Saudades de uma aglomeração né minha filha? 😭 ://t.co/FFhqGXB217
Sun Sep 20 00:15:39 +0000 2020, @LunnaGhenyfer: Queriaaa 😏❤️❤️
Sun Sep 20 00:15:40 +0000 2020, @blanchetheron: a bunda
Sun Sep 20 00:15:40 +0000 2020, @Oficialluizlima: Até quando o Rio de Janeiro vai ser refém da violência? É inaceitável que uma cidade grandiosa e com o potencial do RJ…
Sun Sep 20 00:15:41 +0000 2020," @haliaxes: kkkkkkkkkkkkkkkkk coragem gravar num supermercado errrr

mas desejando forças pra ela"
Sun Sep 20 00:15:41 +0000 2020, @blanchetheron: a bunda
Sun Sep 20 00:15:41 +0000 2020,@rosanajuan12 😂😂😂😂😂😂😂😂😂 o rio de janeiro continua lindo.
Sun Sep 20 00:15:42 +0000 2020,"#homaodaporra💕 em Tijuca, Rio De Janeiro, Brazil ://t.co/VwLoH5DovF"
Sun Sep 20 00:15:43 +0000 2020," @BTS_Noticee: [👑🧨] ㅁ ㅡ @BTS_twt ㅡ ㅁ

📇🚏Múcos mais tweetados durante os primeiros seis meses de quarentena (EUA):

‼️🔥 #1 BTS 🔥‼️

http…"
Sun Sep 20 00:15:43 +0000 2020,"Acabou de publicar uma foto em Paraty, Rio de Janeiro, Brazil ://t.co/zo249NKLl4"
Sun Sep 20 00:15:44 +0000 2020,Uma aglomeração evangélica aqui na vizinha da vó... como esse cara grita
Sun Sep 20 00:15:45 +0000 2020, @orlandolva: URGENTE!!! A imprensa informa que São Paulo receberá as primeiras 5 milhões de doses da vacina coronavac nos próximos dia…
Sun Sep 20 00:15:46 +0000 2020, @zehdeabreu: O Bral atingiu com Bolsonaro mais mortes que a bomba atômica de Hiroshima. E ele segue em busca de mais mortes. Como ele…
Sun Sep 20 00:15:46 +0000 2020," @jeffers30071995: Explicações precisam ser dadas pelo @SantaCruzFC.
1° O médico coral precisa explicar se essas lesões foram por excesso…"
Sun Sep 20 00:15:46 +0000 2020,SKSKSKSKSKSKSKDK PERDI MUITO
Sun Sep 20 00:15:46 +0000 2020," @itimaliasof: O dono de um pequeno mercado dá comida a cachorros de rua durante a quarentena.

Eles esperam anosamente que o bondoso h…"
Sun Sep 20 00:15:47 +0000 2020," @pintosdabruna: espirros -- não
mas quando eu espirro ficam a olhar tipo que sou criminosa"
Sun Sep 20 00:15:47 +0000 2020,queria te uma 97 line apenas p fura quarentena
Sun Sep 20 00:15:48 +0000 2020, @iunge_: já dizia Dj Guuga: não era amor era quarentena 🤡
Sun Sep 20 00:15:48 +0000 2020,@Jn_Santt0s Ai brota amanhã 1 hr campo da mata jogo valendo 300 . Ja fica pra consulta depois
Sun Sep 20 00:15:48 +0000 2020,"🤪 (@ Lote XV in Belford Roxo, Rio de Janeiro) ://t.co/ZtWgTzRjIh"
Sun Sep 20 00:15:49 +0000 2020,Gente lá vcs tão saindo se a quarentena nem acabou? Tipo eu juro q não congo entender pq tem gente se juntando kk
Sun Sep 20 00:15:49 +0000 2020, @judepaulla1: o médico pra lady gaga quando ela acorda assustada na maca  ://t.co/r3JgYuWgmd
Sun Sep 20 00:15:51 +0000 2020, @MarceloPintoBA: Rui estima que até sexta-feira documentos da vacina russa cheguem a Bahia para iniciar processo ://t.co/zFhzR7SeL5…
Sun Sep 20 00:15:52 +0000 2020,@DonivanLucas Deve ter vacina ne
Sun Sep 20 00:15:52 +0000 2020," @pintosdabruna: espirros -- não
mas quando eu espirro ficam a olhar tipo que sou criminosa"
Sun Sep 20 00:15:53 +0000 2020," @nog_val: ESTAMOS AQUI BIEL
Rio de Janeiro"
Sun Sep 20 00:15:53 +0000 2020,@tiajuuu 16 temporadas vendo médico morrer e transa
Sun Sep 20 00:15:54 +0000 2020, @burnderess: tentando desenvolver uma coisa chamada limites pq perdi eles na quarentena
Sun Sep 20 00:15:54 +0000 2020,"nao era amor
era quarentena"
Sun Sep 20 00:15:54 +0000 2020, @OcorrenciasJF: A @gabrielaester_ está indignada com a dificuldade em fazer denúncias de aglomeração em JF. Confira no texto: ://t.…
Sun Sep 20 00:15:55 +0000 2020,"mas ela gastou horrores cmg nessa quarentena... só de reformar meu quarto, os móveis foram os que eu sempre sonhei… ://t.co/odOoGlvlZN"
Sun Sep 20 00:15:55 +0000 2020," @enf_intenva: Hospital de Floripa demitiu uma técnica de enfermagem por injuria racial. Durante o intervalo de café, ao entrar as func…"
Sun Sep 20 00:15:55 +0000 2020, @ciancaglini_15: @AlessandroLoio2 @govbr @anvisa_oficial É!!! Ex-ministros da Saúde e a @anvisa_oficial têm a responsabilidade de carreg…
Sun Sep 20 00:15:56 +0000 2020,Oh quarentena por que me tornaste tão frágil ao álcool?
Sun Sep 20 00:15:56 +0000 2020," @pimps_junin: Que coincidência! Justamente no mês em que o Flamengo fará CINCO jogos seguidos no Rio de Janeiro (m, cinco jogos seguid…"
Sun Sep 20 00:15:57 +0000 2020,"Nenhuma menina de Porto Alegre e região( moro em Gravataí) pra sanar o tesão da quarentena (pessoalmente) cmg?
17y… ://t.co/ShbdlPHol7"
Sun Sep 20 00:15:58 +0000 2020,"É um pedido inteligente do deputado Freixo , para ocupar um cargo de prefeito de uma cidade como do Rio de Janeiro… ://t.co/goQAd4tnmv"
Sun Sep 20 00:15:58 +0000 2020, @anarcobs: quinhentémo dia de quarentena minha mãe resolveu que não concorda com o conceito de velocidade média
Sun Sep 20 00:15:59 +0000 2020, @perryorgasm: Eu nos churrascos depois que acabar a quarentena  ://t.co/Tr5pY4lCNN
Sun Sep 20 00:16:01 +0000 2020, @JornalOGlobo: Média móvel de mortes por Covid-19 cresce pelo 2º dia seguido no Rio ://t.co/CdinbbauHk
Sun Sep 20 00:16:03 +0000 2020, @isadoraeliasm: na quarentena eu tive uns 4 corpos diferentes
Sun Sep 20 00:16:04 +0000 2020, @blanchetheron: a bunda
Sun Sep 20 00:16:04 +0000 2020,nessa quarentena eu percebi que eu sou amiga das pessoas certas.
Sun Sep 20 00:16:05 +0000 2020,"O Estado do Tocantins confirmou mais 16 mortes hoje, sábado (19/09). São 866 mortes no estado, e 135.847 no Bral… ://t.co/pS5jgJIpNM"
Sun Sep 20 00:16:05 +0000 2020,m off: a carla todo dia
Sun Sep 20 00:16:05 +0000 2020, @Linatofolario: Três semanas de praias lotadas e o número de infectados está despencando. Eleições funcionam melhor que vacina..
Sun Sep 20 00:16:05 +0000 2020, @anamaryb: pensando em marcas q estejam interessadas em fazer puble comigo. marquem aqui....pensei em algo no ramo de hospitais pquiat…
Sun Sep 20 00:16:06 +0000 2020,"O cantor @ChicoCesarOf fala sobre política e o processo criativo na quarentena 

://t.co/aPmfw6eKt2"
